w1,v1
aca,-6.914
bearish,-6.633736264
agricole,-5.903722222
m-a,-5.421
csdb,-5.251
andora,-5.229
shortable,-4.586214286
b/d,-4.495535714
vulnerable,-4.438133333
bum,-4.126
breakdown,-3.990915916
lmlp,-3.8259
toxic,-3.750909091
swap,-3.730909091
cyprus,-3.7134
sovereign,-3.629473684
eurozone,-3.543157895
italian,-3.4236
advancer,-3.381058824
south,-3.325552941
umlp,-3.284235294
distribution,-3.119372549
soil,-3.059821429
fugly,-3.0108
stan,-2.950833333
french,-2.878965517
toast,-2.869826087
NUMsigmatrade,-2.851333333
fruition,-2.8328
NUMn,-2.8328
signal-below,-2.779
hagopian,-2.747294118
morph,-2.7224
overvalue,-2.698181818
woodsh,-2.6936
slip,-2.675526316
complacency,-2.64
derivative,-2.627428571
toppy,-2.58804
tanking,-2.575095238
risk-off,-2.554357143
util,-2.554357143
reshort,-2.5216
bnp,-2.49
ouch,-2.474810811
hesitation,-2.43825
kijun-sen,-2.415
warning,-2.35607767
cvr,-2.3445
hopium,-2.3432
ew,-2.33998521
tumble,-2.331153846
paulson,-2.324
qualify,-2.298461538
pathetic,-2.2605
lml,-2.253076923
dn,-2.241
timber,-2.2095
titanic,-2.209235294
puke,-2.202538462
greek,-2.188457143
unable,-2.171215686
mtNUM,-2.1328
creditor,-2.127
rollover,-2.116372881
ugliness,-2.1105
liquidation,-2.050769231
implode,-2.046545455
briefing,-2.046461538
crow,-2.025714286
unemployment,-2.009647059
crumble,-2.002857143
dangerously,-1.9852
harmonic,-1.981419355
bueno,-1.9698
overprice,-1.963764706
dive,-1.951918033
waterfall,-1.946894188
death,-1.939456522
freefall,-1.9362
imf,-1.926
lousy,-1.911818182
abyss,-1.904285714
spanish,-1.895947368
b.s.,-1.876
operational,-1.865684211
plunge,-1.86
dark,-1.841
meg,-1.838454545
zigzag,-1.833384615
broaden,-1.830095661
turd,-1.828695652
dayma,-1.828363636
failure,-1.804329004
fading,-1.8017
lookout,-1.787268293
fail,-1.774762075
bund,-1.756353846
djium,-1.745833333
cyclical,-1.738695652
evening,-1.718842051
t/p,-1.7024
voodoo,-1.694
tp,-1.688666667
NUM/NUMsma,-1.680545455
deflate,-1.676
luckily,-1.676
bellow,-1.663615385
weakening,-1.655823529
beneath,-1.649333333
rba,-1.645071429
nymo,-1.631643836
crash,-1.628709677
fishy,-1.6273125
slice,-1.621333333
messenger,-1.621090909
anatomy,-1.602
crime,-1.599818182
gasp,-1.599818182
failed,-1.585818182
ebv,-1.5757
whitman,-1.562666667
gann,-1.561056338
aex,-1.555272727
disappoint,-1.55334375
jinx,-1.5502
devil,-1.547076923
junk,-1.546551724
italy,-1.545333333
bleed,-1.53654717
weaker,-1.528740741
hype,-1.526218182
rotten,-1.5246
NUM-mo,-1.5236
danger,-1.523125
headfake,-1.521290323
put,-1.518523105
gravity,-1.515857143
gravestone,-1.513
bluff,-1.5084
pmus,-1.5067
plummet,-1.49662963
payroll,-1.4952
carnage,-1.494947368
fulfil,-1.491636364
uncanny,-1.491636364
accounting,-1.487571429
quantitative,-1.477636364
portugal,-1.477636364
negate,-1.469066667
val,-1.453827586
weaken,-1.450964912
NUM-hour,-1.450097561
tank,-1.447625
abandon,-1.4418
engulfment,-1.436571429
tpNUM,-1.411666667
poorly,-1.406875
NUM/NUM/NUMsma,-1.4064
worse,-1.402677419
drag,-1.402071429
candel,-1.40175
observation,-1.398286866
discretionary,-1.3932
distributor,-1.387909091
usd/jpy,-1.385230769
strictly,-1.385230769
weak,-1.382458797
rejection,-1.380441176
eur,-1.377032258
meltdown,-1.3764
aud,-1.363125
bagholder,-1.355294118
spxew,-1.354035088
toss,-1.352666667
high-relative,-1.342666667
sp-NUM,-1.334666667
tranche,-1.333
fraud,-1.33175
bubble,-1.330789474
indu,-1.316745763
cpus,-1.313083333
ut,-1.313083333
zombie,-1.310272727
mlm,-1.3086
keystone,-1.3086
mml,-1.303176471
manana,-1.302222222
swissie,-1.300625
ponzus,-1.30025
tired,-1.2996
megaphone,-1.284045455
debt,-1.2744388
thick,-1.272941176
neg,-1.272857143
poc,-1.268923077
miracle,-1.2684
p-NUM,-1.2684
:P,-1.254594595
fx,-1.252137931
bpspx,-1.248615385
compromise,-1.227818182
revolutionary,-1.227818182
apparent,-1.224117647
pair,-1.223849057
nfp,-1.2204
cling,-1.213916667
cht,-1.213916667
smack,-1.212935484
lumber,-1.212076923
pNUM,-1.208901961
unwind,-1.202941176
terrible,-1.2018
brick,-1.200333333
hNUM,-1.199943396
careful,-1.19819214
broken,-1.19475
NUM-NUM-NUM,-1.193966667
attract,-1.193207547
speculator,-1.1928
coincidence,-1.1928
bn,-1.192153846
shoulder,-1.186160584
horrible,-1.18571875
column,-1.184736842
selling,-1.18046371
sstoch,-1.178074074
truncate,-1.174384615
i-pad,-1.172
neckline,-1.171209302
slowdown,-1.159428571
unload,-1.1508
delusional,-1.150588235
exhaustion,-1.142266667
mybestfund,-1.138347826
hidden,-1.135166667
liar,-1.1334
republican,-1.1334
eminus,-1.1334
star,-1.132679167
violate,-1.124315789
france,-1.122512195
bloody,-1.120538462
secular,-1.120538462
alarming,-1.1202
drop,-1.118928571
goodbye,-1.116789474
bk,-1.115722222
similarity,-1.11328
wave,-1.110701429
depression,-1.110666667
omd,-1.106727273
union,-1.10025
bernanke,-1.099913043
sig,-1.099038961
weakness,-1.098021538
lod,-1.096730769
underperform,-1.095837838
pig,-1.090229508
dNUM,-1.089714286
spiral,-1.086666667
meaningful,-1.08573913
carefull,-1.084416667
counter,-1.084416667
crab,-1.071666667
qqqq,-1.07090566
apart,-1.068639721
die,-1.065650943
disappointing,-1.064195122
uh,-1.062285714
countertrend,-1.060266667
decline,-1.060258065
downward,-1.060216216
evaporate,-1.049444444
outflow,-1.049444444
struggle,-1.04885
poor,-1.045183673
hill,-1.0422
neck,-1.041088235
sink,-1.0405
haircut,-1.040181818
nl,-1.039407407
fall,-1.0375824
beef,-1.037222222
xeu,-1.035529412
correlation,-1.032745385
NUMh,-1.031764706
hindsight,-1.030363636
grafico,-1.030363636
re-post,-1.030363636
reject,-1.024816092
labor,-1.022625
circle,-1.022105263
reid,-1.019333333
downhill,-1.018363636
diverge,-1.018333333
threshold,-1.015263158
gasoline,-1.01
dead,-1.007224242
gartley,-1.003460317
interpretation,-1.002130435
midpoint,-1.001
austerity,-1.001
circus,-1.001
toilet,-0.9996
bd,-0.9996
pip,-0.9966063348
awful,-0.9958928571
NUMhour,-0.9955555556
playbook,-0.9894761905
bulkowskus,-0.9886153846
liquidate,-0.9864
jobless,-0.9801
innocent,-0.98
fr,-0.98
tick,-0.9782039519
collect,-0.9777391304
nightmare,-0.972
soc,-0.9718333333
counter-trend,-0.9718333333
h,-0.9715833333
disconnect,-0.9696
tooth,-0.9696
dump,-0.9686972477
summit,-0.9645
sucker,-0.9588965517
fake,-0.9563707865
elliot,-0.9544166667
abcd,-0.9512727273
ssus,-0.9445
dumpage,-0.9445
analog,-0.9445
mlk,-0.9445
euphoria,-0.9416521739
decisive,-0.9386666667
central,-0.938
rug,-0.937125
burnt,-0.9354
comfort,-0.9335
implication,-0.9313714286
broader,-0.9297391304
newton,-0.9295
deviation,-0.9295
eur/usd,-0.9271449275
disaster,-0.924
fade,-0.9193421053
cci,-0.9192083333
sub,-0.9191707073
accumulation/distribution,-0.918
alternate,-0.9175833333
dog,-0.915884058
hole,-0.9132978723
crack,-0.91109375
distribute,-0.9087272727
goin,-0.9087272727
belong,-0.9087272727
ema,-0.9087272727
default,-0.9044
severe,-0.9024166667
elsewhere,-0.902
revert,-0.8970769231
thereafter,-0.8970769231
fifth,-0.896
cough,-0.8885333333
punch,-0.8865
johnson,-0.882
signaling,-0.8745
bat,-0.8744615385
mNUM,-0.8721818182
german,-0.8692173913
yearly,-0.8692173913
divergent,-0.8668181818
whack,-0.86632
djus,-0.86632
ret,-0.8638518519
mcclellan,-0.8582424242
unless,-0.8557765957
elliott,-0.8540779221
unconfirmed,-0.8520416667
sharp,-0.8499190765
cue,-0.8485714286
o/n,-0.8473846154
clean,-0.847
below,-0.8463703704
bye,-0.845275869
usd/cad,-0.845
breadth,-0.84105
billy,-0.8395555556
jul,-0.8375609756
crap,-0.8331171171
optimist,-0.833
shortterm,-0.833
mar.,-0.833
dancing,-0.833
skew,-0.833
mid-term,-0.833
hourly,-0.8328693182
behold,-0.8297777778
FALSE,-0.8274566929
bed,-0.825
budge,-0.822
clone,-0.822
reality,-0.8110789474
traditional,-0.81075
s,-0.8076303797
por,-0.8055384615
revision,-0.8055384615
k.i.s.s,-0.8055384615
bend,-0.8022222222
proprietary,-0.8021481481
w.,-0.8015625
hike,-0.7967826087
shrt,-0.7967826087
slow,-0.7963164557
iv,-0.7914117647
NUM-ish,-0.7908333333
wolfe,-0.7895
knife,-0.783242208
rd,-0.7827368421
shadow,-0.78
screw,-0.7793015873
net,-0.7780876032
questionable,-0.7774666667
unfilled,-0.7755
empty,-0.7755
overbot,-0.7735
firingrange,-0.7683870968
ab,-0.7682028986
annotation,-0.768
erase,-0.7645
ceiling,-0.7634545455
economy,-0.7625
cocoa,-0.7572727273
obsolete,-0.757
transportation,-0.757
fair,-0.7553571429
govt,-0.7515
novNUM,-0.7497
fiber,-0.748
ameritrade,-0.7472727273
landing,-0.7427647059
prosperity,-0.7404444444
forecasting,-0.737
upto,-0.737
inflate,-0.7255
dynamics,-0.7255
lofty,-0.722
inverse,-0.722
vpoc,-0.722
corrective,-0.720877653
lower,-0.71604
custom,-0.715125
lean,-0.714
tf,-0.7119272727
voter,-0.711
outage,-0.711
sentiment,-0.7094553899
aka,-0.7078275862
bow,-0.7065333333
median,-0.7052054795
lag,-0.7049565217
renko,-0.7045
complex,-0.7008
brink,-0.6981333333
nearest,-0.6981333333
fed,-0.695625
bond,-0.6955
bbNUM,-0.6941666667
chan,-0.6885
wallstreet,-0.6885
shuttle,-0.6878666667
serve,-0.6863043478
headwind,-0.6835
NUMpt,-0.6813043478
era,-0.6803076923
stumble,-0.6803076923
targett,-0.6803076923
terminal,-0.6803076923
galore,-0.6803076923
weapon,-0.6803076923
spotlight,-0.6788157895
impulse,-0.6765901639
stink,-0.675
manufacture,-0.672
ghost,-0.672
server,-0.6705882353
manufacturing,-0.6689375
confluence,-0.6688291139
justify,-0.6681428571
f/a,-0.6664
hypothetical,-0.6645789474
rebuild,-0.6645789474
demand,-0.6645789474
boehner,-0.66248
uncertainty,-0.6609375
qeNUM,-0.66
flop,-0.659
scene,-0.659
blood,-0.6566521739
mn,-0.6563636364
NUM/NUMema,-0.6563636364
contemplate,-0.6563636364
shady,-0.6563636364
uber,-0.6563636364
prone,-0.6563636364
increasingly,-0.6563636364
plb,-0.6551111111
horz,-0.6522352941
taco,-0.652
NUM-dma,-0.6514285714
threat,-0.648
eu,-0.6467294118
composite,-0.6463636364
imp,-0.6463636364
sub-NUM,-0.6463636364
static,-0.6463636364
transfer,-0.6463636364
pumper,-0.6463636364
que,-0.644
swan,-0.6417777778
cloning,-0.6417777778
erode,-0.6417777778
NUM-wk,-0.64125
plant,-0.6411428571
vision,-0.6391578947
chapter,-0.6355384615
spending,-0.6346904762
fond,-0.632
asp,-0.6317142857
trash,-0.63135
invalidate,-0.63135
warrant,-0.63135
fiasco,-0.6272
hora,-0.6255
canal,-0.6255
tire,-0.6255
nap,-0.6235555556
bad,-0.6207654723
p.,-0.616
oscillator,-0.6157666667
ensue,-0.6141666667
fitch,-0.6138125
corporate,-0.6136470588
consecutive,-0.6111607143
bankrupt,-0.6097142857
sauce,-0.6018461538
barrel,-0.6016666667
baked,-0.60048
flush,-0.5995862069
chf,-0.5985
decay,-0.5985
exit,-0.5983058824
sell,-0.5905210142
cluster,-0.5901234568
behavior,-0.5896315789
lagging,-0.5887058824
expense,-0.588
victim,-0.588
problem,-0.5870689655
borrow,-0.5863235294
spell,-0.5858571429
chrt,-0.5843478261
quant,-0.5838
loom,-0.5836875
scary,-0.5810769231
structure,-0.5809795918
luxury,-0.5797894737
boundary,-0.5783461538
mount,-0.5776
jesse,-0.5776
snb,-0.576
furious,-0.576
tenkan,-0.5753846154
where,-0.5688
forex,-0.5688
NUMyear,-0.5686363636
elect,-0.5686363636
insanity,-0.5686363636
enthusiasm,-0.5686363636
deploy,-0.5686363636
coincide,-0.5684651163
osc,-0.5684444444
correlate,-0.5649677419
cycle,-0.5613793103
obama,-0.5608085106
fire,-0.5604827586
uptrendchannel,-0.5594210526
resitance,-0.5588571429
ugh,-0.5588571429
after-hours,-0.5588571429
doubtful,-0.5588571429
dilute,-0.5570769231
household,-0.556
lisis,-0.556
remain,-0.5548566176
under,-0.5544009955
pitch,-0.552
funnel,-0.5518461538
speaking,-0.5495862069
rt.,-0.5487307692
beating,-0.5483214286
leash,-0.5482758621
sad,-0.5469090909
thor,-0.544
longing,-0.5433333333
rev.,-0.5423157895
abe,-0.5415
faster,-0.540972973
tail,-0.5396062992
compress,-0.5386666667
correction,-0.5368397933
beware,-0.5361904762
debit,-0.5333684211
camp,-0.532
fanboy,-0.5316923077
los,-0.5316923077
globex,-0.5280625
triggered,-0.5280625
crucial,-0.5265853659
sustainable,-0.5257692308
single,-0.5238990826
gop,-0.5216
selloff,-0.5214842767
technically,-0.5212871287
np,-0.52125
tendency,-0.52125
woe,-0.52125
drawing,-0.52125
intervention,-0.5195454545
stage,-0.5185046729
deeper,-0.5164137931
stall,-0.5146363636
negative,-0.5120833333
nation,-0.5096666667
unite,-0.507
gc,-0.5060869565
chop,-0.5057234043
broad,-0.5044142857
atr,-0.5028319328
winNUM,-0.5015384615
sar,-0.501
scam,-0.5008888889
thn,-0.5004
gradually,-0.5004
d.,-0.4994482759
bleeding,-0.4986818182
regression,-0.4985357143
tommorow,-0.497
