w1,v1
b/o,5.559533742
^,5.505559322
zte,4.934
vascepa,4.738649351
verdict,4.710634615
ftd,4.656
bio,4.462296296
wrap,4.411568627
hep,4.334
award,4.216
ymb,4.216
pacer,4.167
spectrum,4.115
uspto,3.888
lang,3.857
ath,3.829090909
lawyer,3.691
scoop,3.691
lovaza,3.645
ctix,3.619
allowance,3.619
ave,3.587376068
cheapie,3.582
basf,3.543
fry,3.543
NUM-x,3.543
rest,3.537205882
solid,3.505334928
pill,3.504
pre-order,3.504
base,3.475055416
abv,3.46716129
power,3.463
sellstop,3.421
agreement,3.414705882
judge,3.386666667
perk,3.340350877
consolidate,3.336440072
attorney,3.334
jz,3.334
carrier,3.29944186
exclusivity,3.288
breed,3.288
snda,3.288
positive,3.287899188
digest,3.278209091
buy,3.272016385
patent,3.253520492
fert,3.246229167
midnight,3.230243902
clear,3.214505119
damages,3.148085106
greatest,3.141
list,3.097188006
nhod,3.089
lte,3.089
ipNUM,3.082196078
mini,3.034
softly,3.034
im,3.034
sectorsurfer,3.034
belviq,3.034
delivery,3.034
undervalue,3.03040404
shortie,3.005513514
dan,3.0016
constructive,2.992137931
take-profit,2.978
morgan,2.978
aman,2.978
misek,2.978
nNUM,2.956205128
coil,2.926523973
cup-handle,2.919
webcast,2.919
luke,2.919
callz,2.919
jackson,2.919
secret,2.857
alltime,2.857
risk/reward,2.857
tmw,2.857
accumulation,2.806259819
lach,2.793
beleive,2.793
capacity,2.793
lookin,2.793
.:),2.793
gsk,2.793
cheapy,2.793
eye,2.770754717
breakeven,2.76771875
joe,2.760152542
pack,2.726
therapy,2.726
sf,2.726
mjna,2.717307692
stNUM,2.706629032
cup,2.670225403
signal-NUM,2.656
appeal,2.656
cup-n-handle,2.656
rounded,2.656
docket,2.656
topic,2.656
shy,2.656
fellow,2.656
bullish,2.655716162
liz,2.6408125
NUMmil,2.635133333
skyrocket,2.622
:-)),2.604
sky,2.582051282
aegis,2.582
sierra,2.582
add/buy,2.582
b-mod,2.582
retake,2.564384615
rising,2.551146067
consistently,2.550078947
winner,2.533746835
liftoff,2.528689655
NUMpm,2.510277778
motley,2.504
helsinki,2.504
dawn,2.504
takeoff,2.504
juror,2.504
pet,2.504
bltus,2.504
movin,2.504
cheapest,2.504
stocktoberfest,2.504
cruise,2.504
statin,2.504
preorder,2.494285714
partnership,2.48805
NUMg,2.482692308
overweight,2.458233333
catalyst,2.44929661
potentiel,2.443
w/handle,2.430352941
rock,2.424913669
cpo,2.421
gap-fill,2.421
ravicher,2.421
nansen,2.421
chinga,2.421
base-on-base,2.421
nyb,2.421
seal,2.421
catfish,2.421
adword,2.421
glum,2.421
aha,2.421
unveil,2.421
real-estate,2.421
pve,2.421
over-sold,2.421
naysayer,2.421
outperform,2.420533333
wfmus,2.400233333
haul,2.38603125
fda,2.379928571
pick,2.376
xmas,2.335093023
glty,2.334
hospital,2.334
id,2.334
booyah,2.334
sqz,2.334
~:),2.334
hit-list,2.334
ascend,2.334
btfo,2.334
shaped,2.334
bullsih,2.334
roth,2.334
buytoopen,2.334
inner,2.334
shorter,2.333272727
mbus,2.331333333
ramp,2.328654545
rule,2.317978723
addition,2.3154
bto,2.314008475
peek,2.3036875
cnh,2.293578947
brokeout,2.288956522
divy,2.286538462
bargain,2.269015152
offense,2.263
est,2.263
over,2.253788659
anchor,2.241836066
gap-up,2.241
author,2.241
salt,2.241
repurchase,2.241
marine,2.241
transcript,2.241
small-cap,2.241
lazard,2.241
ysus,2.241
sto,2.241
roe,2.241
desktop,2.241
high-quality,2.241
defendant,2.241
w/you,2.241
avg,2.241
instinct,2.241
