,yday,5 moving average,10 moving average,50 moving average
113,,16.690088,3.5600833,22.95746372
114,,38.3040038,31.9169922,54.11177258
115,,26.296069,28.9830564,49.3458446
116,,35.1260006,52.344006,74.09799776
117,,58.2420164,89.9260495,118.70624244
118,,54.919971,96.7599855,136.88898216
119,,35.481958,81.3879759,131.91536608
120,,4.8659666,54.5959713,113.89075892
121,,33.2699954,84.1879885,158.50918236
122,,-2.5399416,38.4760374,123.3050437
123,,30.6300538,63.6250489,160.22585204
124,,21.1620362,49.4920411,154.80624998
125,,27.2920166,55.7540406,171.99425046
126,,13.3739748,33.9670046,157.73001724
127,,-27.5240476,-7.5620236,116.38638216
128,,1.6460204,17.7630371,142.11364986
129,,-20.4440188,-10.7910158,112.13620096
130,,4.9600342,4.3160279,129.55585456
131,,-0.5760008,-5.7860105,116.55221948
132,,-40.7880126,-50.8260131,67.41321546
133,,-27.4680178,-44.0610232,66.05200174
134,,8.761963,-5.5410399,98.79097676
135,,5.1779786,-9.7210326,85.91677754
136,,6.6760498,-7.9949585,79.52245612
137,,30.0379636,24.719946,110.79155734
138,,39.4600588,48.9660525,132.6876663
139,,30.5260252,45.0540281,129.18444318
140,,18.7419924,42.2950075,124.76941674
141,,24.2480224,58.6470336,142.52284662
142,,-14.5060546,15.4009645,102.06577654
143,,-36.8779786,-19.7789674,67.58724846
144,,-53.1959716,-48.6399657,33.89125504
145,,-31.0119874,-39.119983,39.40404534
146,,-13.2220458,-38.8370482,36.26817156
147,,-24.7980226,-60.0120241,6.1863988
148,,4.5699702,-28.9990362,27.8893793
149,,-3.3640382,-29.7700564,16.91075168
150,,-18.4899412,-41.6859618,-6.2025512
151,,-8.7860352,-26.1390505,-4.03044704
152,,4.3800298,-3.5739864,9.56602088
153,,-30.323975,-41.4169804,-38.44837696
154,,-27.0939696,-43.5539549,-47.65715324
155,,-25.704028,-42.9470211,-54.85022674
156,,-21.9060058,-41.315991,-61.86339342
157,,-9.7700198,-37.46001,-64.37761264
158,,12.911987,-9.161011,-43.57821322
159,,3.4739988,-13.2150149,-55.01281282
160,,2.3980472,-9.7379514,-56.6613499
161,,-25.7819576,-34.9439572,-90.40474822
162,,-19.6560306,-23.6530277,-88.72922406
163,,-8.6120608,-16.1850589,-85.5794608
164,,-12.3099856,-23.3979739,-96.57817906
165,,-15.4759766,-32.0489747,-109.47057396
166,,-18.9880612,-36.0800779,-117.2742846
167,,-14.6160646,-33.1160891,-117.12410196
168,,-6.0420166,-24.2620362,-112.76865256
169,,8.9460694,-6.4269531,-97.41776622
170,,8.7860844,-1.0199336,-94.70254848
171,,5.1699706,-0.6440308,-92.87725608
172,,-12.108008,-15.0669923,-108.1738162
173,,-18.2179686,-19.2049436,-113.4413573
174,,-9.4020018,-11.7429807,-105.66319562
175,,-15.0740232,-21.5640134,-114.43423316
176,,-2.6079104,-13.2588869,-103.8412893
177,,16.3839354,7.0579467,-80.1160499
178,,-4.5639404,-12.745935,-97.81431878
179,,16.6199464,12.5239503,-70.2988402
180,,5.8939938,8.0000118,-72.6957817
181,,6.6760012,14.1039919,-64.1131956
182,,-9.7439944,-4.954993,-81.41357698
183,,-27.2919434,-23.8079469,-99.25272964
184,,-19.4780514,-21.86405,-96.01783664
185,,-10.8020016,-19.0190059,-90.60378862
186,,-13.94209,-29.8080934,-100.63609388
187,,-12.5860354,-30.7050539,-102.68105488
188,,-10.1898924,-28.7309079,-99.30170866
189,,2.4700198,-12.8539913,-83.59638628
190,,4.5399414,-8.5560791,-78.90208242
191,,7.0199706,-0.1860352,-69.93784176
192,,1.290039,-1.0979492,-69.30935532
193,,-3.609912,-3.2749022,-68.7679074
194,,12.5959468,15.3679438,-46.44826214
195,,17.849951,24.3349607,-32.98885028
196,,0.4480466,6.9140621,-45.84573522
197,,12.8418948,21.2308839,-25.42851788
198,,16.2859378,28.3529054,-10.58151594
199,,11.7401366,24.7581297,-7.67468526
200,,3.5980954,14.8041012,-12.07589642
201,,-2.4999508,10.3440434,-11.41314658
202,,-23.9959476,-16.0869144,-34.06990032
203,,-1.3980468,0.7740235,-12.41776862
204,,1.647852,-0.0461176999997,-10.5147115
205,,17.0419924,15.5849979,8.04960972
206,,-1.4139404,-5.9419311,-10.66691884
207,,10.6000242,11.8920043,9.69203118
208,,6.813989,11.1229491,10.63938708
209,,9.5899414,17.6539307,19.24495366
210,,-1.548071,4.8919192,8.2199271
211,,-0.9920166,8.106958,13.01695806
212,,-23.242017,-20.7460454,-13.87466106
213,,-29.1399902,-32.6180176,-26.86244136
214,,-18.6880374,-29.5790775,-25.16489782
